parcel1,parcel2,parcel_num,parcel_add
171A3 O004,,171A3 O004,175 DEARING ST
124D2 E013,,124D2 E013,175 GREENWOOD DR
123C2 A008,,123C2 A008,175 LAKEVIEW RD
234A3 A003,,234A3 A003,175 MORNING VIEW DR
124B4 B026,,124B4 B026,175 OAKLAND WAY
233D1 D006,,233D1 D006,175 PONDEROSA DR
233A3 A071,,233A3 A071,175 S STRATFORD DR
173C1 H009,,173C1 H009,176 CARLTON TER
122C2 C013,,122C2 C013,1760 W OLD BROAD ST
173C4 C028,,173C4 C028,1775 S MILLEDGE AVE
173C4 C031,,173C4 C031,1775 S MILLEDGE AVE
163D4 H012,,163D4 H012,179 FIRST ST
173A4 H010,,173A4 H010,179 OFARRELL ST
122D1 J006A,,122D1 J006A,180 CARTER ST
172A4 D012A,,172A4 D012A,180 DERBY ST
262    015,,262 015,180 GREEN HILLS RD
181A2 B044,,181A2 B044,180 HABERSHAM WAY
162A1 A010,,162A1 A010,180 SAYEMORE DR
301A1 A009,,301A1 A009,180 WESLEY DR
242C3 F015,,242C3 F015,180 WHISPERWOOD LN
274    001A,,274 001A,1800 CHARLIE BOLTON RD
111    023A,,111 023A,1800 CRESCENT LN
124B4 D012,,124B4 D012,183 CHEROKEE AVE
111    024B,,111 024B,1830 CRESCENT LN
163C1 G009,,163C1 G009,184 CLEVELAND AVE
113A4 D001,,113A4 D001,185 ATKINSON DR
122A3 F009,,122A3 F009,185 BEST DR
182D2 C002,,182D2 C002,185 CEDAR ROCK TRCE
244C  F024,,244C F024,185 DEERTREE DR
054C   051,,054C 051,185 GATEWOOD PL
163B3 F025,,163B3 F025,185 MARLIN ST
171A5 C001,,171A5 C001,185 N HULL ST
173A4 H010A,,173A4 H010A,185 OFARRELL ST
241D1 A002,,241D1 A002,185 STILLWOOD CT
122A4 A008,,122A4 A008,186 BEST DR
114D1 B014,,114D1 B014,187 CHATTOOGA AVE
163D4 H016A,,163D4 H016A,187 FIRST ST
111A   070,,111A 070,190 AMBLER RD
114D4 B031,,114D4 B031,190 COHEN ST
123B2 B017,,123B2 B017,190 DELL AVE
054C   053,,054C 053,190 GATEWOOD PL
123D2 C001,,123D2 C001,190 HARBEN PL
181A3 A031,,181A3 A031,190 HEATHERWOOD LN
124B4 A004,,124B4 A004,190 HIGHLAND TER
174B   001D,,174B 001D,190 LAKEWOOD DR
114C2 H001,,114C2 H001,190 NANTAHALA EXT
124B2 F023,,124B2 F023,190 OAKLAND AVE
181A2 E040,,181A2 E040,1905 S MILLEDGE AVE
181A2 E057,,181A2 E057,1905 S MILLEDGE AVE
181A2 E019,,181A2 E019,1909 S MILLEDGE AVE
173C4 G008,,173C4 G008,191 ANNES CT
114D3 C021,,114D3 C021,191 HIAWASSEE AVE
233D1 D009A,,233D1 D009A,194 CIVITAN CLUB DR
124D2 A007,,124D2 A007,194 WESTVIEW DR
061A3 D005,,061A3 D005,195 LAKEFOREST DR
173C1 D012,,173C1 D012,195 MILLEDGE HTS
122B4 G022,,122B4 G022,195 N BILLUPS ST
103D1 G013,,103D1 G013,195 PEPPERIDGE LN
124B1 B014,,124B1 B014,196 FORTSON CIR
124B3 B009,,124B3 B009,196 ROCK GLEN RD
114D1 B014A,,114D1 B014A,197 CHATTOOGA AVE
124D2 D017,,124D2 D017,1982 S LUMPKIN ST
132D5 B007,,132D5 B007,200 DOWNING WAY
124D3 E004,,124D3 E004,200 GLENWOOD DR
163B7 A027,,163B7 A027,200 LAKE ST
163B2 B004,,163B2 B004,200 NORTHCREST DR
184A8 A002,,184A8 A002,200 RIVERGROVE PKWY
163B3 F021,,163B3 F021,200 RUTH ST
074   A011,,074 A011,2000 TIMOTHY RD
181A2 D009,,181A2 D009,2006 S MILLEDGE AVE
181A2 A005B,,181A2 A005B,2018 S MILLEDGE AVE
121D4 B007,,121D4 B007,202 BRIARCLIFF RD
124C2 C007,,124C2 C007,203 PLUM NELLY RD
074C  A056,,074C A056,2035 TIMOTHY RD
123B1 B018,,123B1 B018,204 RIVERSIDE DR
184A   002,,184A 002,205 JADE DR
034A1 A017,,034A1 A017,206 DEERHILL DR
233B4 C019,,233B4 C019,207 EAST MEADOW DR
164C3 C002A,,164C3 C002A,207 HILLSIDE ST
164C3 C007,,164C3 C007,208 FIRST ST
184A3 B008,,184A3 B008,210 ANSLEY DR
,,,
172C5 A062,,,210 APPLEBY DR
172C5 A066,,,210 APPLEBY DR
122C2 G031,,,210 EVANS ST
173A4 J004,,,210 UNIVERSITY DR
173C1 F008,,,211 CARLTON TER
182B3 A005,,,211 COLLEGE CIR
122A1 G008,,,211 GLORIA ST
163D2 A001,,,211 NORTH AVE
163D7 K015,,,211 NORTH AVE
163D7 M015,,,211 NORTH AVE
074D3 B002,,,211 TAWNYBERRY DR
132D4 B008A,,,212 SLEEPY CREEK DR
122B3 G004,,,212 THE PLAZA
173C3 G001,,,213 PARKWAY DR
173A1 G003,,,213 W RUTHERFORD ST
132B2 G010A,,,2142 S LUMPKIN ST
173A3 E008,,,215 MILLEDGE CIR
173A3 I003,,,215 MORTON AVE
241C3 A015,,,215 RUMSON RD
132B2 B007,,,215 TERRELL DR
131A3 J013,,,216 TOWNSHIP LN
181D3 A009,,,2165 S MILLEDGE AVE
181D3 A017,,,2165 S MILLEDGE AVE
173C3 G002,,,219 PARKWAY DR
113A1 D013,,,220 CLIFTON DR
122C2 F022A,,,220 COLIMA AVE
171B2 D006B,,,220 DR MARTIN LUTHER KING JR
181A2 B023,,,220 HABERSHAM DR
122B3 I024B,,,220 HODGSON DR
113A5 A012,,,220 MAGNOLIA BLOSSOM WAY
114D2 D006,,,220 NANTAHALA AVE
122A3 E009,,,220 PRICE AVE
122D2 G007,,,220 S BILLUPS ST
163D4 K002,,,220 SECOND ST
132D4 B009A,,,220 SLEEPY CREEK DR
182A4 A006,,,220 UNIVERSITY CIR
124B2 G016,,,220 WOODLAWN AVE
233A1 C001,,,2200 LEXINGTON RD
122C1 C001,,,2220 W BROAD ST
114D1 I004,,,223 HIAWASSEE AVE
132D4 C001,,,223 SLEEPY CREEK DR
122D3 A002,,,224 FORTSON DR
122B1 D006,,,225 HILLCREST AVE
073    009K,,,225 JENNINGS MILL PKWY
124C4 C004,,,225 RIVERVIEW RD
171A1 Q015,,,229 N FINLEY ST
173A1 D002,,,229 W CLOVERHURST AVE
163C3 A020A,,,230 BARROW ST
241B5 A003,,,230 E PACES DR
164C3 C005,,,230 FIRST ST
181A2 B022,,,230 HABERSHAM DR
054C   072,,,230 LAKELAND DR
122A3 C004,,,230 MILLARD AVE
173C1 H006,,,230 MILLEDGE TER
243A6 B016,,,230 PEBBLE CREEK DR
121A4 F008,,,230 PINE FOREST DR
121A2 B011,,,230 TARA WAY
172C1 J025,,,231 BURNEY ST
041    003,,,2310 CLEVELAND RD
184D1 D009,,,232 CENTER PARK LN
164C3 C001,,,232 RIDGE AVE
252A1 A034,,,233 HIDDEN SPRING WAY
114D2 E004,,,235 BEULAH AVE
164A3 A010,,,235 BRAY ST
172A1 B019,,,235 N PETER ST
074A3 A005,,,235 RIDGEVIEW DR
174A2 A002B,,,236 GROVE ST
121B5 A010,,,236 HAMPTON PARK DR
172A4 B022,,,236 N PETER ST
122D4 E003,,,237 SPRINGDALE ST
124B2 F006,,,237 WOODLAWN AVE
122C2 G027,,,238 EVANS ST
114C4 C006B,,,238 YONAH AVE
163C1 A007A,,,240 AUGUSTA AVE
124A3 B007B,,,240 BEECH CREEK RD
114D2 D001A,,,240 BEULAH AVE
064B1 A017,,,240 CHADDS WALK
163C3 A003B,,,240 CRAWFORD AVE
164C3 C005B,,,240 FIRST ST
113B1 A016,,,240 HUNNICUTT DR
184D1 C025,,,241 CENTER PARK LN
124B1 B006,,,241 FORTSON DR
163D4 J001,,,241 PEARL ST
122B3 F041,,,242 GLENHAVEN AVE
163A3 B033,,,243 MACON AVE
122A3 H014,,,243 SUNSET DR
163C1 C011,,,245 ATLANTA AVE
123B2 F009,,,245 BISHOP DR
122A1 A018,,,245 GILMER ST
184B5 A017,,,245 GREENWOOD LN
174A2 A002,,,248 GROVE ST
071A3 B004,,,249 IMPERIAL WAY
121B2 B008,,,250 CLOVER ST
171D3 A101,,,250 LITTLE ST
171D3 A109,,,250 LITTLE ST
171D3 C202,,,250 LITTLE ST
171D3 C305,,,250 LITTLE ST
171D3 D309,,,250 LITTLE ST
122A3 E008,,,250 PRICE AVE
171A9 B007,,,250 W BROAD ST
171A9 C002,,,250 W BROAD ST
171A9 C004,,,250 W BROAD ST
171A9 C005,,,250 W BROAD ST
171A9 C006,,,250 W BROAD ST
171A9 D001,,,250 W BROAD ST
171A9 D002,,,250 W BROAD ST
171A9 D007,,,250 W BROAD ST
171A9 E002,,,250 W BROAD ST
171A9 E018,,,250 W BROAD ST
171A9 E021,,,250 W BROAD ST
171A9 E023,,,250 W BROAD ST
171A9 E024,,,250 W BROAD ST
171A9 E031,,,250 W BROAD ST
171A9 E032,,,250 W BROAD ST
171A9 F006,,,250 W BROAD ST
171A9 F008,,,250 W BROAD ST
171A9 F017,,,250 W BROAD ST
171A9 F025,,,250 W BROAD ST
171A9 G002,,,250 W BROAD ST
171A9 H003,,,250 W BROAD ST
171A9 H021,,,250 W BROAD ST
121D1 E019,,,2505 W BROAD ST
062C1  012,,,255 CAMELOT DR
181A3 B016,,,255 DAVIS ESTATES RD
122A3 G011,,,255 HOLMAN AVE
122B3 A008,,,255 INDALE AVE
124B4 C023,,,255 OAKLAND AVE
123B4 C004,,,255 PINE VALLEY DR
121A4 E007,,,255 STONELAND DR
071D2 A038,,,256 CHEROKEE RDG
122C4 B012,,,257 MAGNOLIA ST
124B1 B008,,,259 FORTSON DR
124B4 C004,,,260 CHEROKEE AVE
113C1 J002,,,260 KIRBY LN
